,Unnamed: 0,block_num,id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree,compas_decile_score,two_year_recid,c_charge_desc,mturk_charge_name,full_charge_description
0,1,1,8307,African American,Female,53,0,0,5,413,felony,6,0,Unlicensed Telemarketing,Unlicensed Telemarketing,When an unlicensed commercial telemarketing company or unlicensed salesperson solicits a purchaser for the purpose of attempting to sell consumer goods or services
1,2,1,10406,African American,Male,43,0,0,2,306,felony,7,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
2,3,1,8267,African American,Male,46,0,0,3,371,felony,3,1,Stalking (Aggravated),Stalking,"When a person willfully, maliciously, and repeatedly follows, harasses, or cyberstalks another person"
3,4,1,5593,Caucasian,Male,37,0,0,4,21,misdemeanor,4,1,Aggravated Battery / Pregnant,Assault,"An intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent"
4,5,1,61,African American,Female,51,0,0,7,306,felony,2,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
5,6,1,5438,African American,Male,20,0,0,1,186,felony,10,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
6,7,1,5557,African American,Male,51,0,0,0,423,misdemeanor,4,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will"
7,8,1,9924,Caucasian,Male,29,0,0,0,15,felony,3,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
8,9,1,4767,Caucasian,Male,39,0,0,3,306,felony,2,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
9,10,1,1733,Caucasian,Female,52,0,0,6,381,misdemeanor,7,0,Theft/To Deprive,Theft,The taking of another person's property worth less than $300
10,11,1,4766,Caucasian,Male,26,0,0,2,190,felony,9,1,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
11,12,1,5647,African American,Female,42,0,0,0,133,misdemeanor,1,1,DUI Level 0.15 Or Minor In Veh,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
12,13,1,8827,Hispanic,Male,26,0,0,5,129,felony,3,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked
13,14,1,2719,African American,Male,23,0,0,1,167,felony,4,1,Felony Batt(Great Bodily Harm),Battery,Intentionally causing bodily harm to another person without a weapon
14,15,1,1443,African American,Male,45,0,0,0,318,felony,5,1,Possession of Morphine,Possession of Morphine,Possession of Morphine
15,16,1,7652,African American,Male,25,0,0,8,172,felony,8,1,Felony Driving While Lic Suspd,Driving with a Suspended License,Driving with a license that has been suspended
16,17,1,3732,African American,Male,26,0,0,1,93,misdemeanor,1,0,Criminal Mischief Damage <$200,Criminal Damage of less than $1000,"When a person willfully and maliciously damages another person's property - with damage less than $1,000"
17,18,1,1024,African American,Male,27,0,0,0,306,misdemeanor,2,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
18,19,1,10307,African American,Male,31,2,0,6,169,felony,6,0,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
19,20,1,8613,Caucasian,Male,33,0,0,2,133,misdemeanor,2,0,DUI Level 0.15 Or Minor In Veh,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
20,21,1,6064,Caucasian,Female,31,0,0,0,45,misdemeanor,2,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
21,22,1,10452,African American,Female,44,0,0,0,379,felony,1,0,Tampering With Physical Evidence,Tampering With Physical Evidence,"When a person alters, destroys, suppresses or conceals any record, document or thing with purpose to impair its verity, legibility or availability in any official proceeding or investigation"
22,23,1,8141,Caucasian,Male,21,0,0,0,400,felony,4,0,Trespassing/Construction Site,Trespassing,"Willfully entering or remaining on some form of real property without authorization, license, or invitation"
23,24,1,3398,African American,Male,21,1,2,3,92,felony,10,1,Criminal Mischief,Criminal Damage of less than $1000,"When a person willfully and maliciously damages another person's property - with damage less than $1,000"
24,25,1,8104,African American,Female,42,0,0,16,336,felony,6,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty"
25,26,1,9644,African American,Male,22,0,0,0,283,misdemeanor,6,0,Possess Cannabis/20 Grams Or Less,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
26,27,1,3635,African American,Female,24,0,0,2,89,felony,4,0,Crim Use of Personal ID Info,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries Òlegal efficacyÓ"
27,28,1,1642,Caucasian,Male,29,0,0,1,45,misdemeanor,6,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
28,29,1,9295,Hispanic,Male,30,0,0,2,313,felony,2,0,Possession of Hydromorphone,Possession of a Controlled Substance,Possession of a criminalized narcotic or pharmacological drug
29,30,1,4105,Caucasian,Male,33,0,0,7,229,felony,9,1,Neglect Child / No Bodily Harm,Child Neglect,"When a caregiver willfully, or through culpable negligence, fails to provide a child with the care, supervision, and services necessary to maintain the child's physical and mental health that a prudent person would consider essential for the well-being of the child"
30,31,1,8517,African American,Male,23,0,0,0,45,misdemeanor,3,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
31,32,1,4841,Caucasian,Male,55,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
32,33,1,10011,African American,Male,45,0,0,4,127,misdemeanor,3,1,Driving License Suspended,Driving with a Suspended License,Driving with a license that has been suspended
33,34,1,1441,African American,Male,30,0,0,1,45,misdemeanor,5,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
34,35,1,2182,African American,Female,26,0,0,1,190,felony,6,1,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
35,36,1,9435,Caucasian,Male,24,0,0,3,306,felony,5,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
36,37,1,1741,African American,Male,24,0,0,5,418,felony,6,1,Uttering a Forged Instrument,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries Òlegal efficacyÓ"
37,38,1,7324,Caucasian,Male,30,0,0,0,169,felony,1,0,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
38,39,1,2910,Caucasian,Male,42,0,0,0,128,misdemeanor,4,0,Driving Under The Influence,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
39,40,1,3957,Hispanic,Male,24,0,0,1,84,misdemeanor,2,0,Contribute Delinquency Of A Minor,Contributing to the Delinquency Of A Minor,"When a person over the age of eighteen commits any act which causes, tends to cause, encourages, or contributes to a minor become delinquent, dependent, or a child in need of services"
40,41,1,1022,African American,Female,31,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
41,42,1,921,African American,Male,30,0,0,1,283,misdemeanor,7,0,Possess Cannabis/20 Grams Or Less,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
42,43,1,3115,African American,Female,40,0,0,7,326,misdemeanor,4,0,Prostitution/Lewd Act Assignation,Prostitution,Engaging in sex for money
43,44,1,7678,African American,Male,28,0,2,7,306,felony,7,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
44,45,1,855,African American,Male,38,0,0,0,60,felony,1,0,Burglary Dwelling Assault/Batt,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside"
45,46,1,2393,African American,Male,22,0,0,0,65,felony,3,0,Burglary Unoccupied Dwelling,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside"
