random,resp_id,resp_race,resp_gender,resp_state,resp_polview,resp_reason,resp_decision,resp_age,resp_educ4,def_id,def_gender,def_age,def_race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_desc,c_charge_degree,decile_score,two_year_recid
1,251,Caucasian,female,Michigan,Very conservative,Number of prior crimes,0,67,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,392,Caucasian,female,Missouri,Very conservative,Number of prior crimes,1,35,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,403,Caucasian,female,Massachusetts,Very liberal,Number of prior crimes,0,35,4,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,415,Caucasian,female,Florida,Moderate Liberal,Number of prior crimes,0,66,3,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,573,Caucasian,female,Pennsylvania,Very liberal,Number of prior crimes,0,26,3,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,893,Caucasian,male,Idaho,Very liberal,Number of prior crimes,0,74,3,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,934,African-American,female,Virginia,Very conservative,Crime description,0,23,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,976,Caucasian,male,New Mexico,Very conservative,Number of prior crimes,1,75,4,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,1305,Caucasian,male,Texas,Conservative,Number of prior crimes,0,57,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,1681,African-American,female,Pennsylvania,Conservative,Crime description,0,50,3,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,1887,African-American,female,Georgia,Moderate Liberal,Number of prior crimes,0,24,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,1913,African-American,male,Georgia,Moderate Liberal,Number of prior crimes,1,27,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,2413,African-American,male,California,Moderate Liberal,Number of prior crimes,0,70,2,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,2417,African-American,female,Illinois,Moderate Liberal,Number of prior crimes,0,60,3,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
1,2420,African-American,female,Oklahoma,Moderate Liberal,Type of crime (misdemeanor or felony),1,31,1,3350,Male,31,African-American,0,0,0,1,Felony Battery (Dom Strang),F,1,0
